observation_id,site_id,site_label,image_date,observed_spacing_m,measurement_method,manual_spacing_m,wiggle_spacing_m,has_manual,has_wiggle,latitude,longitude,observation_time_utc,representative_u10_mps,depth_m,fetch_m,pattern_lifetime_s,pattern_reset_time,pattern_reset_event_count,pattern_reset_causes,wind_direction_deg,forcing_mode,matched_cache_file,lookback_hours,onset_only,visible_spacing_multiplier,max_visible_mergers,max_visible_aspect_ratio,max_cell_aspect_ratio,drag_method,drift_method,proxy_notes
obs_032,neagh,Lough Neagh,2021-02-21,47.17957738,manual,47.17957738,,True,False,54.58469,-6.36237,2021-02-21 10:30:00+00:00,5.705,9.0,15000.0,19800.0,,0,,189.78634754000888,era5_cache_matched,data/raw/era5_cache/54p585_6p362_20210211_20210221.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_033,neagh,Lough Neagh,2021-03-26,43.47822366,manual,43.47822366,,True,False,54.66049,-6.32452,2021-03-26 10:30:00+00:00,6.1,9.0,15000.0,19800.0,,0,,232.4606467527175,era5_cache_matched,data/raw/era5_cache/54p660_6p325_20210316_20210326.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_034,erie,Lake Erie Region,2021-05-14,406.7357008,wiggle,,406.7357008,False,True,41.85671,-83.129,2021-05-14 15:30:00+00:00,1.575,7.0,25000.0,0.0,2021-05-14 15:30:00+00:00,3,low_wind_shutdown,213.04434617012237,era5_cache_matched,data/raw/era5_cache/41p857_83p129_20210504_20210514.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_035,taihu,Taihu Lake,2021-07-07,150.0154346,wiggle,,150.0154346,False,True,31.30319,120.12571,2021-07-07 02:30:00+00:00,3.365,2.0,30000.0,12600.0,2021-07-06 23:00:00+00:00,1,low_wind_shutdown,247.12938996196146,era5_cache_matched,data/raw/era5_cache/31p303_120p126_20210627_20210707.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_036,prairie,Prairie Lakes,2021-08-13,100.4628601,manual,100.4628601,,True,False,48.04819,-99.17419,2021-08-13 16:30:00+00:00,4.02,3.5,12000.0,19800.0,,0,,302.0,era5_cache_matched,data/raw/era5_cache/48p048_99p174_20210803_20210813.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_037,taihu,Taihu Lake,2021-10-10,185.1798507,wiggle,,185.1798507,False,True,31.34447,120.09894,2021-10-10 02:30:00+00:00,1.63,2.0,30000.0,0.0,2021-10-10 02:30:00+00:00,4,low_wind_shutdown,53.867727351763165,era5_cache_matched,data/raw/era5_cache/31p344_120p099_20210930_20211010.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_038,taihu,Taihu Lake,2021-10-30,69.86280218,wiggle,,69.86280218,False,True,31.282,120.03636,2021-10-30 02:30:00+00:00,0.98,2.0,30000.0,0.0,2021-10-30 02:30:00+00:00,7,low_wind_shutdown,301.99422778573864,era5_cache_matched,data/raw/era5_cache/31p282_120p036_20211020_20211030.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_039,prairie,Prairie Lakes,2022-07-22,63.17308753,manual,63.17308753,,True,False,48.07822,-99.20752,2022-07-22 16:30:00+00:00,3.63,3.5,12000.0,19800.0,,0,,267.0385831593596,era5_cache_matched,data/raw/era5_cache/48p078_99p208_20220712_20220722.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_040,prairie,Prairie Lakes,2022-07-27,52.46092535,manual,52.46092535,,True,False,48.02176,-98.98111,2022-07-27 16:30:00+00:00,7.16,3.5,12000.0,19800.0,,0,,308.5524075501516,era5_cache_matched,data/raw/era5_cache/48p022_98p981_20220717_20220727.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_041,neagh,Lough Neagh,2022-09-24,53.37615632,manual,53.37615632,,True,False,54.58103,-6.35173,2022-09-24 10:30:00+00:00,5.085,9.0,15000.0,0.0,2022-09-24 10:30:00+00:00,1,direction_change,5.627493712825753,era5_cache_matched,data/raw/era5_cache/54p581_6p352_20220914_20220924.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_042,neagh,Lough Neagh,2022-10-07,43.35428673,manual,43.35428673,,True,False,54.55463,-6.50828,2022-10-07 10:30:00+00:00,5.645,9.0,15000.0,19800.0,,0,,247.04872061299878,era5_cache_matched,data/raw/era5_cache/54p555_6p508_20220927_20221007.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_043,neagh,Lough Neagh,2022-11-03,53.46002757,manual,53.46002757,,True,False,54.62875,-6.38559,2022-11-03 10:30:00+00:00,2.865,9.0,15000.0,19800.0,,0,,189.34946671911024,era5_cache_matched,data/raw/era5_cache/54p629_6p386_20221024_20221103.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_044,neagh,Lough Neagh,2022-11-08,49.45643707,manual,49.45643707,,True,False,54.51776,-6.53754,2022-11-08 10:30:00+00:00,4.96,9.0,15000.0,19800.0,,0,,183.56352255171547,era5_cache_matched,data/raw/era5_cache/54p518_6p538_20221029_20221108.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_045,neagh,Lough Neagh,2022-11-16,78.83919333,manual,78.83919333,,True,False,54.6221,-6.44889,2022-11-16 10:30:00+00:00,1.6949999999999998,9.0,15000.0,0.0,2022-11-16 10:30:00+00:00,3,low_wind_shutdown,174.83624431889552,era5_cache_matched,data/raw/era5_cache/54p622_6p449_20221106_20221116.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_046,neagh,Lough Neagh,2022-12-08,79.91778623,manual,79.91778623,,True,False,54.66917,-6.40884,2022-12-08 10:30:00+00:00,2.44,9.0,15000.0,19800.0,,0,,322.02460015474935,era5_cache_matched,data/raw/era5_cache/54p669_6p409_20221128_20221208.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_047,neagh,Lough Neagh,2023-02-26,56.36417221,manual,56.36417221,,True,False,54.5709,-6.44309,2023-02-26 10:30:00+00:00,2.96,9.0,15000.0,19800.0,,0,,80.22065790610873,era5_cache_matched,data/raw/era5_cache/54p571_6p443_20230216_20230226.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_048,neagh,Lough Neagh,2023-03-08,49.19757739,manual,49.19757739,,True,False,54.54805,-6.43825,2023-03-08 10:30:00+00:00,4.0649999999999995,9.0,15000.0,19800.0,,0,,63.52154294440129,era5_cache_matched,data/raw/era5_cache/54p548_6p438_20230226_20230308.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_049,neagh,Lough Neagh,2023-04-20,37.24675827,manual,37.24675827,,True,False,54.53051,-6.50678,2023-04-20 10:30:00+00:00,5.484999999999999,9.0,15000.0,19800.0,,0,,102.9954416520082,era5_cache_matched,data/raw/era5_cache/54p531_6p507_20230410_20230420.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_050,prairie,Prairie Lakes,2023-07-07,76.61044046,manual,76.61044046,,True,False,48.06041,-99.19042,2023-07-07 16:30:00+00:00,5.535,3.5,12000.0,12600.0,2023-07-07 13:00:00+00:00,1,direction_change,20.02258585139367,era5_cache_matched,data/raw/era5_cache/48p060_99p190_20230627_20230707.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_051,neagh,Lough Neagh,2023-08-05,39.32672674,manual,39.32672674,,True,False,54.65643,-6.49987,2023-08-05 10:30:00+00:00,3.99,9.0,15000.0,5400.0,2023-08-05 09:00:00+00:00,1,direction_change,348.83933831786214,era5_cache_matched,data/raw/era5_cache/54p656_6p500_20230726_20230805.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_052,erie,Lake Erie Region,2023-09-01,517.7878724,wiggle,,517.7878724,False,True,41.88848,-83.07853,2023-09-01 15:30:00+00:00,3.0300000000000002,7.0,25000.0,19800.0,,0,,127.96698329228116,era5_cache_matched,data/raw/era5_cache/41p888_83p079_20230822_20230901.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_053,erie,Lake Erie Region,2023-09-01,38.0,wiggle,,38.0,False,True,41.82516,-81.14961,2023-09-01 15:30:00+00:00,2.42,7.0,25000.0,19800.0,,0,,113.19770270736853,era5_cache_matched,data/raw/era5_cache/41p825_81p150_20230822_20230901.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_054,prairie,Prairie Lakes,2023-09-17,82.91286298,manual,82.91286298,,True,False,48.01485,-98.97592,2023-09-17 16:30:00+00:00,4.4,3.5,12000.0,19800.0,,0,,164.49318164513068,era5_cache_matched,data/raw/era5_cache/48p015_98p976_20230907_20230917.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
