observation_id,observed_spacing_m,site_id,representative_u10_mps,Linst_raw_m,Lsel_premerge_m,Lmech_raw_m,Lmech_capped_m,Lvis_bound_m,Lvis_proxy_m,n_mergers,n_visible_mergers,cap_binding,visible_cap_binding,has_raw_instability
obs_044,49.45643707,neagh,4.96,130.04399112366906,16.255498890458632,65.02199556183453,65.02199556183453,65.02199556183453,65.02199556183453,2,2,False,False,True
obs_045,78.83919333,neagh,1.6949999999999998,142.58206351666388,17.822757939582985,17.822757939582985,17.822757939582985,17.822757939582985,17.822757939582985,0,0,False,False,True
obs_046,79.91778623,neagh,2.44,138.30506372766703,17.28813296595838,34.57626593191676,34.57626593191676,34.57626593191676,34.57626593191676,1,1,False,False,True
obs_047,56.36417221,neagh,2.96,136.07047545049767,17.00880943131221,68.03523772524883,68.03523772524883,68.03523772524883,68.03523772524883,2,2,False,False,True
obs_048,49.19757739,neagh,4.065,132.39797520736423,16.54974690092053,66.19898760368211,66.19898760368211,66.19898760368211,66.19898760368211,2,2,False,False,True
obs_049,37.24675827,neagh,5.484999999999999,128.8229308102575,16.102866351282188,64.41146540512875,64.41146540512875,64.41146540512875,64.41146540512875,2,2,False,False,True
obs_050,76.61044046,prairie,5.535,47.18820596724595,6.197840038854946,6.197840038854946,6.197840038854946,6.197840038854946,6.197840038854946,0,0,False,False,True
obs_051,39.32672674,neagh,3.99,132.61532398227405,16.576915497784256,16.576915497784256,16.576915497784256,16.576915497784256,16.576915497784256,0,0,False,False,True
obs_052,517.7878724,erie,3.03,106.99449055975528,13.374311319969411,53.497245279877646,53.497245279877646,53.497245279877646,53.497245279877646,2,2,False,False,True
obs_053,38.0,erie,2.42,109.47432197431034,13.684290246788793,54.73716098715517,54.73716098715517,54.73716098715517,54.73716098715517,2,2,False,False,True
obs_054,82.91286298,prairie,4.4,48.873063584231765,6.109132948028971,48.873063584231765,42.0,48.873063584231765,48.873063584231765,3,3,True,False,True
